id;fase;pergunta;alternativa_0;alternativa_1;alternativa_2;alternativa_3;resposta_correta;explicacao
25;2;Quem foi a primeira mulher a acender a pira olímpica?;Cathy Freeman;Paavo Nurmi;Enriqueta Basilio;Birgit Fischer;2;Enriqueta Basilio acendeu a pira em 1968, sendo a primeira mulher a receber essa honra.
26;2;Qual atleta é conhecido como o homem mais rápido do mundo nas Olimpíadas?;Michael Johnson;Carl Lewis;Usain Bolt;Jesse Owens;2;Usain Bolt conquistou esse título ao vencer os 100m e 200m em três Olimpíadas seguidas.
27;2;Onde foram realizados os primeiros Jogos Olímpicos modernos, em 1896?;Paris;Atenas;Roma;Londres;1;Atenas, na Grécia, recebeu a primeira edição dos Jogos Olímpicos modernos em 1896.
28;2;Qual esporte retornou ao programa olímpico em Tóquio 2020?;Beisebol/Softbol;Polo;Rúgbi;Críquete;0;O beisebol e o softbol retornaram em Tóquio 2020 após ficarem de fora em 2012 e 2016.
29;2;Qual país sediou os Jogos Olímpicos de 2016?;China;Brasil;Japão;Rússia;1;O Brasil sediou em 2016, no Rio de Janeiro, sendo a primeira vez na América do Sul.
30;2;Quem ganhou 4 ouros seguidos no salto em distância (1936-1956)?;Carl Lewis;Al Oerter;Jesse Owens;Nenhum;1;Jesse Owens venceu 4 vezes no salto em distância nas olimpíadas em Berlim (1936).
31;2;Qual esporte é praticado com espada, florete ou sabre?;Esgrima;Luta olímpica;Judô;Taekwondo;0;A esgrima é um dos esportes mais antigos e tradicionais dos Jogos Olímpicos.
32;2;Qual cidade sediou os Jogos Olímpicos de Inverno de 2014?;Pequim;Vancouver;Sochi;Turim;2;Sochi, na Rússia, foi a sede em 2014.
33;2;Quem é a ginasta brasileira que conquistou duas medalhas de ouro em 2020?;Rebeca Andrade;Daiane dos Santos;Daniele Hypólito;Flávia Saraiva;0;Rebeca Andrade brilhou em Tóquio 2020, conquistando ouro e prata.
34;2;Em qual Olimpíada o basquete passou a ser disputado?;1928;1936;1948;1956;1;O basquete estreou nos Jogos Olímpicos de Berlim em 1936.
35;2;Qual símbolo olímpico é formado por cinco aros entrelaçados?;Medalha;Bandeira;Tocha;Hino;1;A bandeira olímpica tem cinco aros, representando os continentes unidos.
36;2;Quem foi o atleta que desafiou Hitler em Berlim 1936, vencendo quatro ouros?;Carl Lewis;Jesse Owens;Mark Spitz;Emil Zatopek;1;Jesse Owens fez história ao vencer quatro ouros em Berlim 1936.
37;2;Qual país é conhecido por ter criado os Jogos Olímpicos da Antiguidade?;Roma;Egito;Grécia;China;2;Os Jogos Olímpicos surgiram na Grécia Antiga, na cidade de Olímpia.
38;2;Qual atleta brasileiro é ídolo no vôlei de praia e campeão olímpico?;Zé Roberto;Giba;Emanuel;Bruno Rezende;2;Emanuel é um dos maiores nomes do vôlei de praia brasileiro, campeão olímpico.
39;2;Qual modalidade esportiva envolve movimentos artísticos na água?;Nado sincronizado;Polo aquático;Saltos ornamentais;Remo;0;O nado sincronizado, hoje chamado de nado artístico, é modalidade olímpica.
40;2;Quem acendeu a pira olímpica no Rio 2016?;Pelé;Guga Kuerten;Vanderlei Cordeiro de Lima;Rebeca Andrade;2;Vanderlei Cordeiro de Lima teve a honra de acender a pira no Maracanã em 2016.
