id;fase;pergunta;alternativa_0;alternativa_1;alternativa_2;alternativa_3;resposta_correta;explicacao
12;3;A lixeira vermelha serve para descartar:;Metal;Vidro;Plástico;Restos de comida;2;A cor vermelha indica o descarte de plásticos, como garrafas PET e embalagens.
13;3;A lixeira verde é destinada a:;Vidro;Papel;Metal;Orgânico;0;A lixeira verde é usada para vidro, como garrafas, potes e copos.
14;3;Qual é a melhor forma de reduzir a quantidade de lixo produzida?;Reutilizar;Queimar;Enterrar;Jogar fora;0;Reutilizar materiais prolonga sua vida útil e diminui a geração de resíduos.
15;3;O fruto se forma a partir de qual parte da flor?;Sépala;Ovário;Pétala;Estame;1;Após a fecundação, o ovário da flor se desenvolve e forma o fruto.
16;4;Qual animal é chamado de "rei da selva"?;Leão;Tigre;Onça;Elefante;0;O leão recebeu o título de "rei da selva" por sua imponência e posição de predador, mesmo vivendo principalmente em savanas.
17;4;Qual é o maior animal terrestre?;Girafa;Elefante;Rinoceronte;Hipopótamo;1;O elefante africano pode chegar a 7 toneladas e é considerado o maior animal terrestre.
18;4;Qual desses animais é um inseto?;Cobra;Aranha;Borboleta;Sapo;2;A borboleta é um inseto, com seis patas, corpo em três partes e asas.
19;4;Qual desses animais vive na água?;Golfinho;Leão;Cavalo;Macaco;0;O golfinho é um mamífero aquático que vive exclusivamente no mar.
20;4;Qual é a principal função da raiz?;Atrair polinizadores;Absorver água e nutrientes;Produzir frutos;Respirar;1;A raiz absorve água e sais minerais do solo e fixa a planta.
21;5;Qual parte da planta é responsável pela reprodução?;Raiz;Flor;Caule;Folha;1;A flor contém os órgãos reprodutores da planta, responsáveis pela formação de frutos e sementes.
22;5;Qual gás as plantas absorvem durante a fotossíntese?;Oxigênio;Gás carbônico;Hidrogênio;Metano;1;As plantas absorvem gás carbônico (CO₂) do ar para realizar a fotossíntese.
23;5;Qual dessas opções é um exemplo de fruto?;Cenoura;Batata;Maçã;Alface;2;A maçã é um fruto, enquanto a cenoura e a batata são raízes e o alface é folha.
24;5;As plantas são seres:;Autótrofos;Heterótrofos;Carnívoros;Onívoros;0;Plantas são autótrofas porque produzem seu próprio alimento por meio da fotossíntese.
25;5;As plantas respiram principalmente por meio de:;Raízes;Flores;Estômatos;Frutos;2;Os estômatos, presentes nas folhas, permitem a entrada e saída de gases.
26;6;A maior parte da água doce disponível está em:;Rios;Lagos;Lençóis freáticos;Oceanos;2;Boa parte da água doce acessível encontra-se em lençóis freáticos subterrâneos.
27;6;Quando a água da chuva infiltra no solo, esse processo é chamado de:;Evaporação;Condensação;Infiltração;Transpiração;2;A infiltração é o processo em que a água penetra no solo, abastecendo os lençóis freáticos.
28;6;Qual é o estado físico da água presente nas nuvens?;Líquido;Sólido;Gasoso;Todos os anteriores;0;Nas nuvens, a água está em pequenas gotículas líquidas suspensas no ar.
29;6;A maior reserva de água doce do Brasil está no:;Rio São Francisco;Aquífero Guarani;Rio Amazonas;Pantanal;1;O Aquífero Guarani é uma das maiores reservas de água doce subterrânea do mundo.
30;6;Qual é o principal pigmento responsável pela fotossíntese?;Hemoglobina;Clorofila;Melanina;Xantofila;1;A clorofila é o pigmento verde que capta energia da luz solar para a fotossíntese.
31;7;No sistema de coleta seletiva, a cor amarela representa:;Vidro;Metal;Papel;Plástico;1;A cor amarela indica recipientes destinados ao descarte de metais.
32;7;No sistema de coleta seletiva, a cor marrom é destinada a:;Orgânicos;Plásticos;Vidros;Papel;0;A lixeira marrom é utilizada para resíduos orgânicos, como restos de comida.
33;7;Qual é o 1º dos 3Rs da sustentabilidade?;Reutilizar;Reciclar;Reduzir;Reflorestar;2;O primeiro R é "Reduzir", pois evitar gerar lixo é o passo mais importante.
34;7;Qual destes materiais demora mais tempo para se decompor?;Papel;Plástico;Fruta;Madeira;1;O plástico pode levar centenas de anos para se decompor no meio ambiente.
35;7;Qual estrutura protege a semente?;Caule;Fruto;Raiz;Flor;1;O fruto se forma após a fecundação e protege a semente em seu interior.
36;8;Qual é o maior mamífero do mundo?;Elefante;Baleia-azul;Girafa;Orca;1;A baleia-azul pode ultrapassar 30 metros de comprimento e é o maior animal do planeta.
37;8;Qual desses animais é um anfíbio?;Jacaré;Sapo;Cobra;Lagarto;1;O sapo é um anfíbio, vivendo parte da vida na água e parte em terra firme.
38;8;Qual desses animais é um peixe?;Tubarão;Golfinho;Tartaruga;Baleia;0;O tubarão é um peixe cartilaginoso, enquanto golfinho e baleia são mamíferos.
39;8;Qual desses animais é um réptil?;Arraia;Camaleão;Sapo;Coruja;1;O camaleão é um réptil conhecido por sua habilidade de mudar de cor.
40;8;O que é polinização?;Formação de frutos;Transporte do pólen;Crescimento da raiz;Absorção de água;1;A polinização é o transporte do pólen até a parte reprodutiva da flor, possibilitando a fecundação.
